Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
7/25/2019,7/27/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,41.32,
7/24/2019,7/26/2019,9218,TANGLE OF GERMANTOWN,Other Services,27,
7/24/2019,7/25/2019,9218,SENDIK S GERMANTOWN,Merchandise,10,
7/23/2019,7/25/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
7/24/2019,7/25/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
7/24/2019,7/24/2019,9218,CAPITAL ONE ONLINE PYMT,Payment/Credit,,4140
7/24/2019,7/24/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,3201.89
7/22/2019,7/24/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
7/23/2019,7/24/2019,9218,MILW CO BROWN DEER GOLF,Entertainment,24.5,
7/22/2019,7/24/2019,9218,USCONNECT WATSN VEND 1 S,Dining,2.45,
7/22/2019,7/23/2019,9218,SENDIK S GERMANTOWN,Merchandise,9,
7/22/2019,7/23/2019,9218,FRESH THYME #701,Merchandise,48.35,
7/22/2019,7/23/2019,9218,Steamgames.com4259522985,Entertainment,37.15,
7/21/2019,7/22/2019,9218,LYFT   *RIDE SUN 1AM,Other Travel,10.79,
7/20/2019,7/22/2019,9218,WHO`S ON THIRD MILWAUKEE`,Dining,27.86,
7/20/2019,7/22/2019,9218,HI HAT LOUNGE,Dining,18,
7/21/2019,7/22/2019,9218,NIKE.COM,Other,95.04,
7/20/2019,7/22/2019,9218,MECCA SPORTS  10687002,Dining,42.01,
7/20/2019,7/22/2019,9218,WIS TVR DMV REG RENEWAL,Other Services,125,
7/20/2019,7/22/2019,9218,DOT EPAY DMV TVR SERVICE,Other Services,2.5,
7/19/2019,7/20/2019,9218,MILWAUKEE EYE CARE ASSOCI,Health Care,4140,
7/18/2019,7/20/2019,9218,USCONNECT WATSN VEND 1 S,Dining,2.45,
7/19/2019,7/20/2019,9218,Spotify USA,Phone/Cable,10.55,
7/18/2019,7/19/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.38,
7/18/2019,7/19/2019,9218,TRADER JOE'S #711  QPS,Merchandise,60.25,
7/17/2019,7/19/2019,9218,USCONNECT WATSN VEND 1 S,Dining,1.2,
7/17/2019,7/18/2019,9218,PANERA BREAD #601553,Dining,13.01,
7/16/2019,7/18/2019,9218,RODIZIO GRILL - MILWAUKEE,Dining,48.21,
7/16/2019,7/17/2019,9218,TARGET        00008631,Merchandise,11.96,
7/16/2019,7/17/2019,9218,TARGET        00008631,Merchandise,2.89,
7/15/2019,7/17/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,12.3,
7/15/2019,7/17/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,47.16,
7/16/2019,7/16/2019,9218,UBER   TRIP,Other Travel,1,
7/16/2019,7/16/2019,9218,UBER   TRIP,Other Travel,6.63,
7/14/2019,7/15/2019,9218,DOWNTOWN MKE EATERY,Dining,13.65,
7/14/2019,7/15/2019,9218,DOWNTOWN MKE EATERY,Dining,24.48,
7/13/2019,7/15/2019,9218,ALE ASYLUM RIVERHOUSE,Dining,15,
7/14/2019,7/15/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
7/14/2019,7/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,65.83,
7/14/2019,7/15/2019,9218,UBER   TRIP,Other Travel,8.55,
7/13/2019,7/15/2019,9218,UBER   TRIP,Other Travel,9.51,
7/12/2019,7/13/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.98,
7/11/2019,7/13/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
7/9/2019,7/11/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,1.99,
7/9/2019,7/10/2019,9218,PANERA BREAD #601553,Dining,13.01,
7/9/2019,7/10/2019,9218,PICK N SAVE #868,Merchandise,51.56,
7/8/2019,7/10/2019,9218,CULVER S OF COTTAGE GROVE,Dining,9.79,
7/8/2019,7/10/2019,9218,KWIK TRIP  22200002220,Gas/Automotive,8.89,
7/8/2019,7/9/2019,9218,HOLIDAY STATIONS 3713,Gas/Automotive,47.39,
7/7/2019,7/8/2019,9218,Audible US*MH7IR6501,Other Services,15.79,
7/5/2019,7/6/2019,9218,J & J GENERAL STORE,Gas/Automotive,87.61,
7/3/2019,7/4/2019,9218,WM SUPERCENTER #1609,Merchandise,2.12,
7/3/2019,7/4/2019,9218,WAL-MART #1609,Merchandise,16.03,
7/4/2019,7/4/2019,9218,Amazon web services,Other Services,0.38,
7/3/2019,7/4/2019,9218,HOLIDAY STATIONS 0248,Gas/Automotive,11.46,
7/2/2019,7/3/2019,9218,PANERA BREAD #601553,Dining,13.01,
7/1/2019,7/3/2019,9218,MNRF-FISH & WILDLIFE,Other Services,51.74,
7/1/2019,7/3/2019,9218,STARBUCKS STORE 09618,Dining,12.46,
7/1/2019,7/2/2019,9218,FRESH THYME #701,Merchandise,14.6,
6/28/2019,7/1/2019,9218,QUALITY INN AND SUITES,Lodging,170.84,
6/29/2019,7/1/2019,9218,BAVARIAN BIERHAUS,Dining,7,
6/29/2019,7/1/2019,9218,BAVARIAN BIERHAUS,Dining,24.16,
6/29/2019,7/1/2019,9218,BAVARIAN BIERHAUS,Dining,7,
6/29/2019,7/1/2019,9218,MECCA SPORTS  10687002,Dining,57.5,
6/30/2019,7/1/2019,9218,TST* AXE - MKE,Dining,14.04,
6/29/2019,7/1/2019,9218,UBER   TRIP,Other Travel,6.82,
6/29/2019,7/1/2019,9218,UBER   TRIP,Other Travel,1,
6/29/2019,7/1/2019,9218,UBER   TRIP,Other Travel,7.12,
6/29/2019,7/1/2019,9218,UBER   TRIP,Other Travel,1,
6/29/2019,7/1/2019,9218,UBER   TRIP,Other Travel,3.72,
6/28/2019,7/1/2019,9218,SUNOCO 0377179700,Gas/Automotive,33.31,
6/28/2019,7/1/2019,9218,PANERA BREAD #203735 P,Dining,5.61,
6/28/2019,6/29/2019,9218,HLU*Hulu 318991822726-U,Phone/Cable,47.49,
6/28/2019,6/29/2019,9218,ENTERPRISE RENT-A-CAR,Car Rental,37.32,
6/28/2019,6/29/2019,9218,PICK N SAVE #868,Merchandise,16.89,
6/28/2019,6/29/2019,9218,PICK N SAVE #868,Merchandise,29.86,
6/27/2019,6/29/2019,9218,IN *LAKE EXPRESS,Other Travel,10,
6/28/2019,6/29/2019,9218,CRAZY HORSE STEAKHOUSE,Dining,28.76,
6/27/2019,6/28/2019,9218,JIMMY JOHNS - 565,Dining,9.52,
6/27/2019,6/28/2019,9218,LYFT   *RIDE THU 9AM,Other Travel,7.8,
6/26/2019,6/28/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,8.3,
6/26/2019,6/28/2019,9218,CAFE ZUPAS-MENOMONEE,Dining,11.22,
6/25/2019,6/27/2019,9218,EZVP,Merchandise,14.74,
6/24/2019,6/26/2019,9218,OLYDIAS BAR AND GRILL,Dining,20.99,
6/24/2019,6/26/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,44.04,
6/24/2019,6/25/2019,9218,WAL-MART #1515,Merchandise,14.88,
6/24/2019,6/25/2019,9218,LAKE EXPRESS,Other Travel,184,
6/24/2019,6/25/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
6/22/2019,6/24/2019,9218,DNCSS MILLER PARK CONC,Dining,7.75,
6/22/2019,6/24/2019,9218,DNCSS MILLER PARK CONC,Dining,21.28,
6/24/2019,6/24/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1712.7
6/21/2019,6/24/2019,9218,FRESH THYME #701,Merchandise,50.93,
6/21/2019,6/24/2019,9218,SENDIK S GERMANTOWN,Merchandise,10.98,
6/20/2019,6/22/2019,9218,CAFE ZUPAS-MENOMONEE,Dining,11.22,
6/20/2019,6/21/2019,9218,UDEMY ONLINE COURSES,Other,12.99,
6/19/2019,6/20/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.93,
6/19/2019,6/20/2019,9218,Spotify USA,Phone/Cable,10.55,
6/18/2019,6/19/2019,9218,PANERA BREAD #601553,Dining,13.01,
6/17/2019,6/18/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.3,
6/17/2019,6/18/2019,9218,TRADER JOE'S #711  QPS,Merchandise,42.26,
6/17/2019,6/18/2019,9218,TRAININGPEAKS,Merchandise,119,
6/16/2019,6/18/2019,9218,KWIK TRIP  95900009597,Gas/Automotive,41.66,
6/15/2019,6/17/2019,9218,WAL-MART #1202,Merchandise,46.78,
6/15/2019,6/17/2019,9218,CKE*JERRY'S OLD TOWN GERM,Dining,15.22,
6/14/2019,6/17/2019,9218,EMERYS SUPER FITNESS,Merchandise,171.29,
6/14/2019,6/15/2019,9218,PANERA BREAD #601553,Dining,12.69,
6/14/2019,6/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,65.83,
6/13/2019,6/14/2019,9218,SENDIK S GERMANTOWN,Merchandise,8.97,
6/12/2019,6/14/2019,9218,TANGLE OF GERMANTOWN,Other Services,52,
6/12/2019,6/14/2019,9218,TANGLE OF GERMANTOWN,Other Services,,26
6/13/2019,6/14/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
6/12/2019,6/13/2019,9218,UDEMY ONLINE COURSES,Other,9.99,
6/12/2019,6/13/2019,9218,UDEMY ONLINE COURSES,Other,9.99,
6/11/2019,6/12/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.97,
6/10/2019,6/12/2019,9218,OLYDIAS BAR AND GRILL,Dining,22.05,
6/10/2019,6/12/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,40.37,
6/10/2019,6/12/2019,9218,OUTPOST NATURAL FOODS-MQ,Merchandise,9.5,
6/8/2019,6/10/2019,9218,JUDY'S ON NORTH,Dining,122.86,
6/9/2019,6/10/2019,9218,GAMETIME    TICKETS,Entertainment,24,
6/8/2019,6/10/2019,9218,WHEEL & SPROCKET FP,Merchandise,82.27,
6/9/2019,6/10/2019,9218,UBER   TRIP,Other Travel,5.93,
6/9/2019,6/10/2019,9218,UBER   TRIP,Other Travel,1,
6/9/2019,6/10/2019,9218,UBER   TRIP,Other Travel,8.23,
6/9/2019,6/10/2019,9218,UBER   TRIP,Other Travel,1,
6/7/2019,6/10/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
6/8/2019,6/10/2019,9218,DNCSS MILLER PARK CONC,Dining,17.54,
6/7/2019,6/10/2019,9218,DNCSS MILLER PARK CONC,Dining,14.75,
6/8/2019,6/8/2019,9218,GarminIntl,Merchandise,1050.99,
6/6/2019,6/7/2019,9218,PANERA BREAD #601553,Dining,13.01,
6/5/2019,6/7/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
6/5/2019,6/7/2019,9218,DNR E PAY WIN ACS,Other Services,20,
6/5/2019,6/7/2019,9218,DNR EPAY WIN ACS SERV FEE,Other Services,0.35,
6/5/2019,6/6/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.23,
6/5/2019,6/6/2019,9218,ODD DUCK,Dining,49.78,
6/4/2019,6/5/2019,9218,PANERA BREAD #601553,Dining,13.01,
6/3/2019,6/5/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.01,
6/3/2019,6/4/2019,9218,TRADER JOE'S #711  QPS,Merchandise,56.08,
6/3/2019,6/3/2019,9218,Amazon web services,Other Services,1.13,
5/31/2019,6/3/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
6/1/2019,6/3/2019,9218,UP DOWN - MILWAUKEE,Dining,17,
6/1/2019,6/3/2019,9218,TST* LAKEFRONT BREWERY,Dining,18,
6/1/2019,6/3/2019,9218,TST* LAKEFRONT BREWERY,Dining,24.31,
5/30/2019,6/1/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,6.31,
5/30/2019,6/1/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,47.96,
5/30/2019,5/31/2019,9218,PANERA BREAD #601553,Dining,12.27,
5/29/2019,5/31/2019,9218,REI #60 BROOKFIELD,Merchandise,138.08,
5/28/2019,5/29/2019,9218,PANERA BREAD #601553,Dining,13.01,
5/28/2019,5/29/2019,9218,HLU*Hulu 318991820515-U,Phone/Cable,63.3,
5/28/2019,5/29/2019,9218,PICK N SAVE #882,Merchandise,23.4,
5/28/2019,5/29/2019,9218,TARGET        00008631,Merchandise,13.21,
5/27/2019,5/28/2019,9218,MILWAUKEE RIVER CRUISE L,Entertainment,32.36,
5/26/2019,5/28/2019,9218,Y NOT II,Dining,13,
5/27/2019,5/28/2019,9218,TST* ENGINE COMPANY NO. 3,Dining,85.07,
5/26/2019,5/27/2019,9218,GOOD CITY BREWING-JUNEAU,Dining,14.4,
5/26/2019,5/27/2019,9218,UBER   TRIP,Other Travel,9.24,
5/25/2019,5/27/2019,9218,COLECTIVO COFFEE LAKEF,Dining,8.49,
5/25/2019,5/27/2019,9218,UBER   TRIP,Other Travel,9.19,
5/25/2019,5/27/2019,9218,GLORIOSO BROTHERS,Merchandise,9.29,
5/25/2019,5/27/2019,9218,BUGSY'S,Dining,12,
5/25/2019,5/27/2019,9218,BRYANTS COCKTAIL LOUNGE,Dining,58,
5/25/2019,5/25/2019,9218,UBER   TRIP,Other Travel,13.39,
5/25/2019,5/25/2019,9218,UBER   TRIP,Other Travel,11.91,
5/25/2019,5/25/2019,9218,UBER   TRIP,Other Travel,11.15,
5/24/2019,5/25/2019,9218,SENDIK S GERMANTOWN,Merchandise,9.08,
5/24/2019,5/25/2019,9218,FRESH THYME #701 MILWAUKE,Merchandise,66.09,
5/24/2019,5/25/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
5/23/2019,5/25/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,46.43,
5/24/2019,5/24/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2762.11
5/22/2019,5/24/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
5/23/2019,5/24/2019,9218,TARGET        00008631,Merchandise,31.13,
5/22/2019,5/23/2019,9218,TRADER JOE'S #711  QPS,Merchandise,48.76,
5/21/2019,5/22/2019,9218,PANERA BREAD #601553,Dining,12.27,
5/21/2019,5/22/2019,9218,TARGET        00008631,Merchandise,30.44,
5/19/2019,5/20/2019,9218,SUGAR MAPLE,Dining,15,
5/19/2019,5/20/2019,9218,FRESH THYME #701 MILWAUKE,Merchandise,56.93,
5/18/2019,5/20/2019,9218,CAFE LULU,Dining,14,
5/19/2019,5/20/2019,9218,Spotify USA,Phone/Cable,10.55,
5/18/2019,5/20/2019,9218,CITY OF MILW PARKING WEB,Other,27,
5/18/2019,5/20/2019,9218,BARNACLE BUDS,Dining,21,
5/19/2019,5/20/2019,9218,UBER   TRIP,Other Travel,10.4,
5/19/2019,5/20/2019,9218,UBER   TRIP,Other Travel,10.83,
5/18/2019,5/20/2019,9218,SQ *ENLIGHTENED BREWING C,Merchandise,7,
5/16/2019,5/18/2019,9218,PICK N SAVE #880,Merchandise,32.38,
5/17/2019,5/18/2019,9218,SENDIK'S GERMANTOW,Merchandise,8,
5/16/2019,5/18/2019,9218,DOMANS,Dining,13.89,
5/16/2019,5/18/2019,9218,REI #60 BROOKFIELD,Merchandise,46.54,
5/16/2019,5/17/2019,9218,TST* NUCKLEHEADZ BAR & GR,Dining,14.74,
5/15/2019,5/17/2019,9218,2BUCKS ARENA  10684207,Dining,13,
5/16/2019,5/16/2019,9218,GAMETIME    TICKETS,Entertainment,68,
5/14/2019,5/16/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
5/15/2019,5/16/2019,9218,SENDIK'S GERMANTOW,Merchandise,9,
5/14/2019,5/15/2019,9218,MILW CO DRETZKA GOLF,Entertainment,17,
5/14/2019,5/15/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
5/13/2019,5/15/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,46.08,
5/14/2019,5/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,65.83,
5/13/2019,5/14/2019,9218,PANERA BREAD #601553,Dining,13.01,
5/12/2019,5/14/2019,9218,LAKE ARROWHEAD,Dining,180.21,
5/10/2019,5/11/2019,9218,PANERA BREAD #601553 P,Dining,10.5,
5/9/2019,5/11/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
5/9/2019,5/10/2019,9218,GOOD CITY BREWING-JUNEAU,Dining,8.26,
5/8/2019,5/10/2019,9218,EVOLUTION OF MILWAUKEE LL,Dining,14.89,
5/9/2019,5/9/2019,9218,UBER   TRIP,Other Travel,6.87,
5/9/2019,5/9/2019,9218,UBER   TRIP,Other Travel,7.16,
5/7/2019,5/9/2019,9218,CAMP BAR TOSA,Dining,5.5,
5/8/2019,5/9/2019,9218,SENDIK'S GERMANTOW,Merchandise,9,
5/7/2019,5/8/2019,9218,SPEEDWAY 02073 680,Gas/Automotive,45.59,
5/5/2019,5/7/2019,9218,THE EXCLUSIVE COMPANY,Merchandise,59.09,
5/5/2019,5/6/2019,9218,FRESH THYME #701 MILWAUKE,Merchandise,8.9,
5/4/2019,5/6/2019,9218,PICK N SAVE #868,Merchandise,9.49,
5/4/2019,5/6/2019,9218,PICK N SAVE #868,Merchandise,33.42,
5/3/2019,5/4/2019,9218,Amazon web services,Other Services,2.06,
5/1/2019,5/3/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
5/2/2019,5/3/2019,9218,SENDIK'S GERMANTOW,Merchandise,6.97,
5/1/2019,5/3/2019,9218,MARCUS MENO FALLS CONC,Entertainment,12.87,
4/28/2019,5/2/2019,9218,6MECCA SPORTS 10687606,Dining,14,
4/30/2019,5/1/2019,9218,LYFT   *RIDE TUE 5PM,Other Travel,5.87,
4/29/2019,4/30/2019,9218,WAL-MART #1515,Merchandise,13.88,
4/28/2019,4/30/2019,9218,UNCLE WOLFIES BREAKFAST T,Dining,61.74,
4/28/2019,4/29/2019,9218,HLU*Hulu 318991826679-U,Phone/Cable,63.3,
4/28/2019,4/29/2019,9218,PICK N SAVE #868,Merchandise,3.06,
4/27/2019,4/29/2019,9218,TANGLE OF GERMANTOWN,Other Services,27,
4/27/2019,4/29/2019,9218,AMC MAYFAIR MALL #0858,Entertainment,9.33,
4/28/2019,4/29/2019,9218,9640 AMC ONLINE,Entertainment,25.52,
4/28/2019,4/29/2019,9218,AMZN MKTP US AMZN.COM/BIL,Merchandise,,17.3
4/28/2019,4/29/2019,9218,AMZN MKTP US AMZN.COM/BIL,Merchandise,,27.18
4/28/2019,4/29/2019,9218,AMZN MKTP US AMZN.COM/BIL,Merchandise,,9.49
4/27/2019,4/29/2019,9218,CLARK 8435,Gas/Automotive,35.17,
4/27/2019,4/29/2019,9218,PICK N SAVE #868,Merchandise,49.3,
4/26/2019,4/27/2019,9218,SENDIK'S GERMANTOW,Merchandise,8.67,
4/24/2019,4/26/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
4/25/2019,4/26/2019,9218,GAMETIME    TICKETS,Entertainment,564,
4/25/2019,4/26/2019,9218,SENDIK'S GERMANTOW,Merchandise,7.49,
4/24/2019,4/25/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
4/24/2019,4/24/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1435.57
4/23/2019,4/24/2019,9218,PANERA BREAD #601553,Dining,13.01,
4/23/2019,4/24/2019,9218,FRESH THYME #701 MILWAUKE,Merchandise,29.77,
4/22/2019,4/24/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
4/23/2019,4/24/2019,9218,AMZN MKTP US*MZ2YF7BW1 AM,Merchandise,53.97,
4/22/2019,4/23/2019,9218,AMZN MKTP US*MZ2MM1VX0 AM,Merchandise,20.06,
4/21/2019,4/23/2019,9218,KWIK TRIP  96400009647,Gas/Automotive,20.09,
4/20/2019,4/22/2019,9218,CITY OF MILW PARKING WEB,Other,27,
4/19/2019,4/22/2019,9218,PICK N SAVE #868,Merchandise,40.39,
4/19/2019,4/22/2019,9218,SWING TIME GERMANTOWN,Entertainment,9,
4/19/2019,4/20/2019,9218,MEDIUM ANNUAL,Professional Services,50,
4/19/2019,4/20/2019,9218,Spotify USA,Phone/Cable,10.55,
4/17/2019,4/19/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,44.07,
4/17/2019,4/18/2019,9218,PICK N SAVE #880,Merchandise,25.39,
4/16/2019,4/17/2019,9218,SENDIK'S GERMANTOW,Merchandise,19.07,
4/15/2019,4/16/2019,9218,SENDIK'S GERMANTOW,Merchandise,7.41,
4/14/2019,4/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,65.87,
4/13/2019,4/15/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
4/12/2019,4/15/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,32.99,
4/12/2019,4/13/2019,9218,TARGET        00008631,Merchandise,37.1,
4/11/2019,4/12/2019,9218,PANERA BREAD #601553,Dining,12.27,
4/11/2019,4/12/2019,9218,TM *BON IVER,Entertainment,182.35,
4/10/2019,4/11/2019,9218,CITY OF MILW PARKING WEB,Other,37,
4/9/2019,4/11/2019,9218,EMERYS SUPER FITNESS,Merchandise,58.83,
4/8/2019,4/10/2019,9218,BLACKSTONE CREEK GOLF CLU,Dining,33,
4/8/2019,4/9/2019,9218,PANERA BREAD #601553,Dining,13.01,
4/8/2019,4/9/2019,9218,TRADER JOE'S #711  QPS,Merchandise,42.06,
4/6/2019,4/8/2019,9218,TRYSTING PLACE PUB,Dining,22,
4/5/2019,4/8/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,4.2,
4/5/2019,4/8/2019,9218,ST1X GOLF ENTERTAINMENT,Entertainment,22.5,
4/4/2019,4/6/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,48.39,
4/2/2019,4/3/2019,9218,METRO MARKET #371,Merchandise,29.76,
4/1/2019,4/2/2019,9218,PANERA BREAD #601553,Dining,12.38,
3/31/2019,4/1/2019,9218,AMZN MKTP US*MW42Y2DS1 AM,Merchandise,765.07,
3/31/2019,4/1/2019,9218,HARRYS ON BRADY,Dining,27.95,
3/30/2019,4/1/2019,9218,Black Sheep,Dining,24.15,
3/30/2019,4/1/2019,9218,DNCSS MILLER PARK CONC,Dining,18.5,
3/30/2019,4/1/2019,9218,PICK N SAVE #868,Merchandise,16.96,
3/28/2019,3/30/2019,9218,UNCLE WOLFIES BREAKFAST T,Dining,40.29,
3/28/2019,3/30/2019,9218,DNCSS MILLER PARK CONC,Dining,9.25,
3/28/2019,3/30/2019,9218,DNCSS MILLER PARK CONC,Dining,9.25,
3/28/2019,3/29/2019,9218,HLU*Hulu 318991829138-U,Phone/Cable,63.3,
3/28/2019,3/29/2019,9218,LYFT   *RIDE WED 10PM,Other Travel,5.99,
3/28/2019,3/29/2019,9218,UBER   TRIP,Other Travel,6.87,
3/26/2019,3/29/2019,9218,WHO`S ON THIRD MILWAUKEE`,Dining,17.86,
3/28/2019,3/29/2019,9218,GOOD CITY BREWING-JUNEAU,Dining,21.6,
3/27/2019,3/28/2019,9218,PICK N SAVE #868,Merchandise,16.27,
3/27/2019,3/28/2019,9218,SENDIK'S GERMANTOW,Merchandise,8.98,
3/26/2019,3/28/2019,9218,FRESH THYME #706 MENOMONE,Merchandise,7.89,
3/26/2019,3/27/2019,9218,TARGET        00008631,Merchandise,24.26,
3/24/2019,3/25/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2178.28
3/24/2019,3/25/2019,9218,PICK N SAVE #868,Merchandise,18.7,
3/24/2019,3/25/2019,9218,ADOBE *PHOTOGPHY PLAN,Merchandise,10.59,
3/22/2019,3/23/2019,9218,METRO MARKET #892,Merchandise,8.92,
3/21/2019,3/22/2019,9218,PICK N SAVE #868,Merchandise,41.65,
3/21/2019,3/22/2019,9218,AMZN Mktp US*MW12M70O0,Merchandise,55.61,
3/20/2019,3/22/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,27.5,
3/20/2019,3/21/2019,9218,TARGET        00008631,Merchandise,41.79,
3/19/2019,3/20/2019,9218,PANERA BREAD #601553,Dining,13.01,
3/19/2019,3/20/2019,9218,PICK N SAVE #880,Merchandise,9.28,
3/19/2019,3/20/2019,9218,Spotify USA,Phone/Cable,10.55,
3/17/2019,3/19/2019,9218,CASEYS VERONA,Gas/Automotive,4.32,
3/18/2019,3/19/2019,9218,SENDIK'S GERMANTOW,Merchandise,9.57,
3/16/2019,3/18/2019,9218,KWIK TRIP  65000006502,Gas/Automotive,49.38,
3/16/2019,3/18/2019,9218,PANERA BREAD #601565,Dining,10.35,
3/16/2019,3/18/2019,9218,TWC*TIME WARNER CABLE,Phone/Cable,69.69,
3/15/2019,3/16/2019,9218,TARGET        00008631,Merchandise,34.55,
3/15/2019,3/15/2019,9218,AMAZON.COM*MW6WL1Z40 AMZN,Merchandise,50.27,
3/14/2019,3/15/2019,9218,UDEMY ONLINE COURSES,Other,19.98,
3/13/2019,3/15/2019,9218,TANGLE OF GERMANTOWN,Other Services,27,
3/14/2019,3/15/2019,9218,SENDIK'S GERMANTOW,Merchandise,63.29,
3/14/2019,3/15/2019,9218,VZWRLSS*APOCC VISN,Phone/Cable,65.87,
3/13/2019,3/14/2019,9218,PICK N SAVE #880,Merchandise,27.16,
3/13/2019,3/14/2019,9218,SENDIK'S GERMANTOW,Merchandise,41.36,
3/12/2019,3/13/2019,9218,TRADER JOE'S #711  QPS,Merchandise,53.53,
3/12/2019,3/13/2019,9218,SENDIK'S GERMANTOW,Merchandise,6.78,
3/11/2019,3/12/2019,9218,TARGET        00008631,Merchandise,17.59,
3/9/2019,3/11/2019,9218,PICK N SAVE #868,Merchandise,16.89,
3/9/2019,3/11/2019,9218,PICK N SAVE #868,Merchandise,30.93,
3/8/2019,3/11/2019,9218,U-HAUL MOVING & STORAGE O,Merchandise,10.5,
3/8/2019,3/11/2019,9218,MENARDS GERMANTOWN WI,Merchandise,82.14,
3/6/2019,3/8/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,32.64,
3/6/2019,3/7/2019,9218,TRADER JOE'S #711  QPS,Merchandise,43.51,
3/6/2019,3/7/2019,9218,WAL-MART #1515,Merchandise,27.62,
3/5/2019,3/6/2019,9218,MILLS FLEET FARM 1600,Merchandise,80.75,
3/5/2019,3/6/2019,9218,AMZN Mktp US*MI7I438K2,Merchandise,24.24,
3/5/2019,3/6/2019,9218,AMZN Mktp US*MI0BJ19J0,Merchandise,41.5,
3/4/2019,3/5/2019,9218,PICK N SAVE #357,Merchandise,11.5,
3/2/2019,3/4/2019,9218,BELMONT TAVERN,Dining,9,
3/2/2019,3/4/2019,9218,UBER   TRIP,Other Travel,7.81,
3/2/2019,3/4/2019,9218,UBER   TRIP ZMOA4,Other Travel,1,
3/1/2019,3/4/2019,9218,ST1X GOLF ENTERTAINMENT,Entertainment,67.05,
3/1/2019,3/2/2019,9218,PICK N SAVE #868,Merchandise,27.03,
3/1/2019,3/2/2019,9218,PAYPAL *MLB,Phone/Cable,,91.99
2/28/2019,3/2/2019,9218,HLU*Hulu 318991829747-U,Phone/Cable,63.3,
2/28/2019,3/1/2019,9218,PAYPAL *MLB,Phone/Cable,91.99,
2/27/2019,3/1/2019,9218,2WISC CTR DIST19021302,Dining,7,
2/28/2019,3/1/2019,9218,THE LOADED SLATE,Dining,33.61,
2/27/2019,2/28/2019,9218,GROUPON INC,Other Services,5,
2/26/2019,2/27/2019,9218,SENDIK'S GERMANTOW,Merchandise,21.98,
2/25/2019,2/27/2019,9218,KWIK TRIP  63100006312,Gas/Automotive,34.39,
2/24/2019,2/25/2019,9218,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,2000.32
